Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014, -do-  -do- Blue,2000,Th.,780,1560,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Book Pockets - Printed. Yellow as per your sample.,4000,Th.,780,3120,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Book Pockets -  -do- Blue Colour.,2000,Th.,780,1560,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Membership Cards- Printed both sides on heavy wt. Yellow Card stock.,5000,Th.,800,4000,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Membership Cards -  -do- Light Green,1000,Th.,800,800,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Membership Cards -  -do- Pink Colour,1000,Th.,800,800,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Membership Cards -  -do- Blue Colour,4000,Th.,800,3200,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Due Date Slips - Printed as per your sample Yellow Colour.,10000,Th.,300,3000,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,Due Date Slips -do- Blue Colour,5000,Th.,300,1500,,,,,,,,
,-,-,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/92,25-03-2014,"Catalogue Cards- Size 5""*3"". White. Ruled and punched. Indian Card Stock : heavy wt.",5000,Th.,580,2900,2017,,42357,-,-,-,-,-
,L-55,13-01-2014,The Principal,Ragunath Girls (P.G) College,Meerut,-,-,1,C/93,25-03-2014,"Steel Book Supports- Made of heavy gauge steel Sheets and powder & coated in grey finish. Size - 7 1/4"" * 5"".",50 Nos.,Each,65,3250,406.25,,3656.25,-,-,-,-,-
