Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
496,386/LS/12/SCI(AM),17-01-2012,The Registrar,Supreme court of India,-,New Delhi,-,1,B/89,20-01-2012,"Catalogue Cards- Size 5""*3"". White. Ruled and punched. Imported card stock : Heavy wt.",5000,Th.,625,3125,,,,,,,,
497,386/LS/12/SCI(AM),17-01-2012,The Registrar,Supreme court of India,-,New Delhi,-,1,B/89,20-01-2012,Accession Registers- 5000 entries. Leather Bound.,Two,Ea.,600,1200,,,,,,,,
498,386/LS/12/SCI(AM),17-01-2012,The Registrar,Supreme court of India,-,New Delhi,-,1,B/89,20-01-2012,Spine Slips- Self Adhesive sticker type.,5000,Th.,270,1350,596.25,,12521,-,-,-,-,-
499,386/LS/12/SC(AM),17-01-2012,The Registrar,Supreme court of India,-,New Delhi,-,1,B/90,20-01-2012,"Steel Book Supports- Made of heavy gauge steel sheets and powder coated in grey finish. Size- 7 1/4"" * 5"".",210 Nos.,Each,60,12600,1575,,14175,-,-,-,-,-
500,-,28-05-2012,The Librarian,Supreme court of India,-,New Delhi,-,1,B/19,11/6/2012,Book Plates (book Labels)- Printed one side on white paper. Self Adhesive,10000,Th.,680,6800,,,,,,,,
501,-,28-05-2012,The Librarian,Supreme court of India,-,New Delhi,-,1,B/19,11/6/2012,Book Tags - Self Adhesive Sticker type. Oval shape.,5000,Th.,130,650,,,,,,,,
502,-,28-05-2012,The Librarian,Supreme court of India,-,New Delhi,-,1,B/19,11/6/2012,Accession Register- 5000 entries. Leather Bound.,One,Ea.,650,650,405,,8505,-,-,-,-,-
503,547/89,21-12-1989,"The Professor-Inchrage, Library,","Kumaun University,",-,-,263002,-,-,-,"Borrower's Tickets- Size 3""*3, 3/4"". Made of thick card. Fabricated and printed both sides with matter as per your sample. White colour. ..","20,000",th.,210,4200,,,,,,,,
504,547/89,21-12-1989,"The Professor-Inchrage, Library,","Kumaun University,",-,-,263002,-,-,-,"Book cards- Size 3""*5"". Printed both sides as per your sample on medium weight green card stock. ..","5,000",th.,95,475,467.5,228.5,5371,Passenger train to nainital railway station.,PL 635236,30-01-1990,-,-
505,91/Library-6,26-02-1991,"The Officer Incharge Library,","Kumaun University Campus,",-,(U.P),-,-,-,-,"Borrower's Tickets- Size 3""*3.3/4"". Made of thick card. Fabricated and printed both sides with matter as per your sample. Red colour. ..","20,000",th.,225,4500,,,,,,,,
506,91/Library-6,26-02-1991,"The Officer Incharge Library,","Kumaun University Campus,",-,(U.P),-,-,-,-,"Book Cards- Size 3""*5"". Printed both sides with columns as per your sample on medium weight coloured card stock. ..","10,000",th.,110,1100,,,,,,,,
507,91/Library-6,26-02-1991,"The Officer Incharge Library,","Kumaun University Campus,",-,(U.P),-,-,-,-,Book Pockets- Bag shaped. Printed with name and rules of the library. ..,"10,000",th.,120,1200,,,,,,,,
508,91/Library-6,26-02-1991,"The Officer Incharge Library,","Kumaun University Campus,",-,(U.P),-,-,-,-,Book Plates- Printed one side on superior quality white art paper as per your sample. ..,"20,000",th.,45,900,770,350,8820,Amora O/A Rly.Stn per Passenger train.,PL 717488,30-03-1991,-,-
509,316/92/Pu/Sa,4/1/1992,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,"Catalogue Card Cabinets- Made of best quality seasoned teakwood and well polisjed. Comple with standard fittings and leg base. Suitable for housing cards size 5""*3"". 20-drawers unit..",Two,ea.,2950,5900,590,1075,7565,Passenger train to nainital o/a railway station.,PL 817611,25-03-1992,-,-
510,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,Book Labels- Made of paper. Blue Border printed. ..,5000,th.,18,90,,,,,,,,
511,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,Book Labels- Made of paper. Red Border Printed. ..,2000,th.,18,36,,,,,,,,
512,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,Book Plates- Printed one side as per your sample on superior quality white art paper. ..,5000,th.,55,275,,,,,,,,
513,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,Due Date Slips - Printed one side  as per your sample on superior quality white paper. ..,5000,th.,55,275,,,,,,,,
514,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,"Borrower's cards- Size 3""*3, 3/4"". Made of thick card. Fabricated and printed as per your sample. Green colour. ..","25,000",th.,280,7000,,,,,,,,
515,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,Accession Registers- 200 leaves each. Leather Bound. ..,5 Nos.,ea.,150,750,,,,,,,,
516,300/93/Pu/Sa,3/2/1993,"The Professor-Inchrage, Library,","Kumaun University,",-,(U.P),263002,-,-,-,Book Pockets- Bag shaped. Printed with name and rules of the Library as per your sample. ..,5000,th.,148,740,916.6,443.4,10528,Passenger train to nainital o/a railway station.,PP 266813,27-02-1993,-,-
517,429/6 Lib,13-03-1993,"The Professor-In-chrage, Library,","Kumaun University, Campus,",-,-,263601,-,-,-,"Borrower's Tickets- Size 3""*3,3/4"". Made of thick card. Printed as per your specifications. ..","10,000",th.,280,2800,,,,,,,,
518,429/6 Lib,13-03-1993,"The Professor-In-chrage, Library,","Kumaun University, Campus,",-,-,263601,-,-,-,Book Pockets- Bag shaped. Printed with name and rules of the library. ..,"10,000",th.,150,1500,,,,,,,,
519,429/6 Lib,13-03-1993,"The Professor-In-chrage, Library,","Kumaun University, Campus,",-,-,263601,-,-,-,Due Date Slips- Printed one side on superior quality white paper. ..,"10,000",th.,60,600,,,,,,,,
520,429/6 Lib,13-03-1993,"The Professor-In-chrage, Library,","Kumaun University, Campus,",-,-,263601,-,-,-,Accession Registers - 5000 lines each. Leather Bound. ..,4 Nos.,ea.,155,620,,,,,,,,
521,429/6 Lib,13-03-1993,"The Professor-In-chrage, Library,","Kumaun University, Campus,",-,-,263601,-,-,-,Library Statistics Register- 200 leaves. Leather Bound ..,One,ea.,160,160,568,332,6580,-,-,-,-,-
522,81/6Lib,15-10-1997,"The Hony. Librarian,","Kumaon University,",-,(U.P),-,-,-,-,Book Pockets- Bag shaped. Printed with matter as per your sample…,"15,000",th.,350,5250,525,375,6150,Passenger train to Amora O/A railway station,P523057,6/11/1997,-,-
523,D.S.B 63/PU/2011,22-01-2011,"The Hony. Librarian,",Kumaun University Library,-,-,263002,2,C/141,26-02-2011,Book Pockets- Bag shaped. Printed as per ypur specifications.,5000,Th.,580,2900,145,135,3180,Delhi Rudarpur Sitarganj Road Carrier to Nanital,25375,26-02-2022,-,-
524,5.078/619,23-08-1989,"The Librarian,","North Bengal University Library,",Darjeeling,-,734430,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched with a round hole. Imported card stock : Heavy weight. ..","25,000",th.,250,6250,,,,,,,,
525,5.078/619,23-08-1989,"The Librarian,","North Bengal University Library,",Darjeeling,-,734430,-,-,-,Book Labels- Red Border printed. ..,"1,50,000",th.,20,300,,,,,,,,
526,5.078/619,23-08-1989,"The Librarian,","North Bengal University Library,",Darjeeling,-,734430,-,-,-,Book Cards- Size 7.3 cms * 12 cms. Printed both sides as per your sample on medium weight white card stock. ..,"10,000",th.,100,1000,,,,,,,,
527,5.078/619,23-08-1989,"The Librarian,","North Bengal University Library,",Darjeeling,-,734430,-,-,-,Book Pockets - Bag Shaped. Plain. ..,"10,000",th.,100,1000,855,115,9520,ABC Indian Limited to Siliguri,SE-7807,26-09-1989,-,
528,CHE/D.O./0526/1989-90,11/1/1990,"The Director,","University of North Bengal,",Darjeeling,West Bengal,734430,-,-,-,"Cards for Biblographic purpose- Size 5""*3"".  White. Ruled and punched with a round hole. Indian card stock : Medium weight. ..","25,000",th.,72.5,1812.5,,,,,,,,
529,CHE/D.O./0526/1989-90,11/1/1990,"The Director,","University of North Bengal,",Darjeeling,West Bengal,734430,-,-,-,"Catalogue cards- Size 5""3"". White. Ruled and punched with a round hole. Imported Pulp quality : Heavy weight. ..",500,th.,225,1125,,,,,,,,
530,CHE/D.O./0526/1989-90,11/1/1990,"The Director,","University of North Bengal,",Darjeeling,West Bengal,734430,-,-,-,Blank Catalogue Guide Cards- Extra thick quality. Tab cut and punched with a round hole. Halves Yellow.,300,hd.,30,90,302.75,109.75,3440,ABC Indian Limited to Siliguri,SV.3851,20-01-1990,-,-
531,CHS/D.O./052/1989-90,11/1/1990,"The Director,","University of North Bengal,",Darjeeling,West Bengal,734430,-,-,-,"Reference Cards- Size 8""*5"". White. Ruled both sides with horizontal lines only. Indian Card stock : Medium Weight (Superior) ..",2500,th,270,675,67.5,,742.5,ABC Indian Limited to Siliguri,SV 3851,20-01-1990,-,-
532,5.11/400,24-06-1993,"The Library Incharge,","North Bengal University,","Darjeeling,",West Bengal,734430,-,-,-,Book Labels- Made of paper. Red Border printed. ..,"15,000",th.,20,300,30,30,360,Regd.Post Parcel,-,-,-,-
533,-,8/2/1993,Head of the Department,"University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched with a round hole. Imported card stock : Heavy Weight. ..",1500,th.,325,487.5,48.75,,536.25,-,-,-,,
534,-,8/2/1993,Head of the Department,"University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched with a round hole. Imported card stock : Heavy Weight. ..",1500,th.,325,487.5,48.75,90,626.25,Regd.Post Parcel,-,-,-,
535,5.078/65,28-04-1994,"The Library Incharge,","North Bengal University,","Darjeeling,",West Bengal,-,-,-,-,Book Labels- Made of paper. Red Border Printed. ..,"15,000",th,25,375,37.5,30,442.5,Regd.Post Parcel,-,-,-,
536,5.078/191,22-05-1995,"The Deputy Librarian,","North Bengal University Library,","Darjeeling,",West Bengal,734430,-,-,-,Book Labels- Red Border Printed. Made of Paper. ..,"10,000",th.,25,250,25,18,293,-,-,-,-,-
537,5.078/3,2/4/1996,"The Librarian,","North Bengal University,","Darjeeling,",-,734430,-,-,-,Book Labels- Made of Paper.  Red Border Printed.  ..,"20,000",th.,35,700,70,36,806,Regd.Post Parcel,-,-,-,
538,LC/Lib/Or-Sup/556/97-98,19-11-1997,"The Principal,","North Bengal University Law College,","Darjeeling,",West Bengal,-,-,-,-,"Borrower's Tickets- Size 3""*3, 3/4"". Made of thick card. Fabricated and printed as per your sample. Green and Red Colour (3000 each) ..",6000,th.,520,3120,,,,,,,,
539,LC/Lib/Or-Sup/556/97-98,19-11-1997,"The Principal,","North Bengal University Law College,","Darjeeling,",West Bengal,-,-,-,-,"Charging Tray- Made of best quality material and well polished. Fitted with detachable cover and latch. Suitable for cards size 3""*5"". 4- Compartments ..",One,ea.,700,700,,,,,,,,
540,LC/Lib/Or-Sup/556/97-98,19-11-1997,"The Principal,","North Bengal University Law College,","Darjeeling,",West Bengal,-,-,-,-,Shelf Label Holder's- Made of steel and enamelled in durable finish. Size- 12.5 cms *2 cms. ..,8 doz,doz,192,1536,,,,,,,,
541,LC/Lib/Or-Sup/556/97-98,19-11-1997,"The Principal,","North Bengal University Law College,","Darjeeling,",West Bengal,-,-,-,-,Band Dater (Plastic) ..,One,ea.,25,25,,,,,,,,
542,LC/Lib/Or-Sup/556/97-98,19-11-1997,"The Principal,","North Bengal University Law College,","Darjeeling,",West Bengal,-,-,-,-,Self Indking Metal Dater. ..,One,ea.,240,240,562.1,259.9,6443,Air Transport Corporatiom(Assam) Ltd to Siliguri.,128834,11/12/1997,-,-
543,5.11/1544,19-02-2002,"The Library-In-charge,","University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched with a round hole. Imported card stock : Heavy weight. ..","25,000",th.,525,13125,,,,,,,,
544,5.11/1544,19-02-2002,"The Library-In-charge,","University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,Book Pockets- Bag Shaped. (Plain) ..,"5,000",th.,350,1750,,,,,,,,
545,5.11/1544,19-02-2002,"The Library-In-charge,","University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,Book Tags- Self Adhesive Sticker type. Rectangular shape ..,"2,000",th.,110,220,,,,,,,,
546,5.11/1544,19-02-2002,"The Library-In-charge,","University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,Book Tags- Made of paper. Ungummed. Red Border…,"10,000",th.,40,400,1549.5,450,17494.5,ABC Indian Limited to SILIGURI,UB 84074,6/3/2002,-,-
547,Lib/5.11/1252/03,28-11-2003,"The Deputy Librarian,","University of North Bengal,","Darjeeling,",West Bengal,-,-,-,-,Book Pockets- Bag shaped. (Plain) ..,"10,000",Th.,350,3500,350,180,4030,ABC Indian Limited to Siliguri,UK 26397,2/12/2003,-,-
548,Lib/5.11/216/04,27-04-2004,"The Deputy Librarian,","University of North Bengal,","Darjeeling,",West Bengal,734 430,-,-,-,Book Pockets- Bag shaped. (Plain) ..,"10,000",Th.,350,3500,350,240,4090,ABC Indian Limited to Siliguri,UK 29487,13-05-2004,-,-
549,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Periodical Dipslay-Cum-Storage Rack. Having 25 Compartments each of size 26.5 cms * 34.5 cms. Each Compartment fitted with a slanting shelf of roll in type for display of current magazines. Provisions made for storage of back numbers at the rear of each display shelf. Each shelf fitted with label holder-cum-handle. Made of best quality material and well polished. Dimensions:75"" High 57"" Wide and 16"" deep. ..",One,ea.,3950,3950,,,,,,,,
550,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Card Catalogue cabinet-Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing catalogue cards size 5""*3"". 30 drawers unit. ..",One,ea.,2550,2550,,,,,,,,
551,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Magazine Display-cum-storage Rack-Dimensions 75"" high; 72"" wide and 16"" deep. Having vertical partition in the middle to make two trays. Each tray having 5 compartment fitted with roll-in type slanting shutters for display purposes. Provision for storage of old issues at the rear. Made of best quality material and well polished.",One,ea.,3750,3750,,,,,,,,
552,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Less 2% Discount ..,,,,205,,,,,,,,
553,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Less 1% Discount ..,,,,100.45,397.8,,10342.35,-,-,-,-,-
554,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Double Faced Tacks for Reference- Flat top fitted with Decolam Plastic Laminate. Having four shelves making three compartments with partition to make both ways. Made of teak board with painted iron stand. 50"" high; 22"" wide and 60"" long. .. ..",Six,ea.,4500,27000,,,,,,,,
555,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Less 2% Discount ..,,,,540,,,,,,,,
556,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Less 1% Cash Discount ..,,,,264.6,1047.8,,27243.2,-,-,-,-,-
557,-,-,"The Principal,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,"Stock Verification Register- Size 9""*11"". Printed with standard columns on superior quality azure ledger paper. Strong half leather bound. 200 Leaves each. ..",One,ea.,80,80,3.2,,83.2,-,-,-,-,-
558,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,Library-cum-Identity Cards- Having 24 leaveaduly printed with matter as per your specimen. Enclosed in plastic cover. Fabricated and printed as per your sample. ..,500,ea.,3.5,1750,,,,,,,,
559,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,"Catalogue cards- Size 5""*3"". White. Ruled and punched with round hole. Imported card stock : Heavy weight ..",5000,th.,250,1250,,,,,,,,
560,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,"Book cards- Size 3""*5"". Printed as per your sample on heavy weight yellow card stock. ..",5000,th.,100,500,,,,,,,,
561,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,Book Plates- Printed with matter as per your sample on superior quality white art paper. ..,5000,th.,50,250,,,,,,,,
562,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,Date slips - Printed done side with matter as per your sample on superior quality white paper. ..,5000,th.,50,250,,,,,,,,
563,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,"Book Pockets- Bag shad.  Printed with name and rules of the library as per your sample. For 3""*5"" cards. ..",5000,th.,100,500,180,,4680,-,-,-,-,-
564,MNSS/21(3)/81/9771,4/5/1982,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"BOOK RACKS- (Double faced) Size 75"" high (Including legs extended below) 36"" wide & 24"" deep with partition in between to make the rack both ways. Having 5 fixed shelves to make 6-compartments on each side. The two sides of racks of 3/4"" thick one side teak board and horizontal shelves of 3/4"" thick commercial block board. Well polished. ..",Ten,lot.,14025,14025,,,,,,,,
565,MNSS/21(3)/81/9771,4/5/1982,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Librarian's office Table - Size 6'*3' * 2 1/2' high. Made of teak wood and well polished. Top fixed with plastic laminate of approved design. Having drawers on one side. Side Rack with sliding doors with shelves inside provided along with the lable. Well polished. ..,One,ea.,2850,2850,,,,,,,,
566,MNSS/21(3)/81/9771,4/5/1982,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Cushioned chair with revolving and tilting base for Librarian's Table. 4"" foam seat & 2"" foam back covered with rexine/tapestry cloth. ..",One,ea.,1450,1450,,,,,,,,
567,MNSS/21(3)/81/9771,4/5/1982,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Less 2% Discount ..,,,,366.5,,,,,,,,
568,MNSS/21(3)/81/9771,4/5/1982,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Less 1% Cash Discount ..,,,,179.58,711.16,,18490.08,-,-,-,-,-
569,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,131029,-,-,-,"Shelf Table Holders- 'U' shape. Made of steel and enamelled in duarable olive green finish. Complete with blank labels and transparent plastic strips. Suitable for fixing on wooden book racks. Size 12.5 * 2 cms,",200 Nos.,doz,48,800,32,,832,-,-,-,-,-
570,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,-,-,-,-,-,"Newspaper Record Register - Size 9""*11"". Printed with standard columns on superior quality azure ledger paper. Stong. Half leather bound. 100 leaves",ONE,ea.,60,60,2.4,,62.4,-,-,-,-,-
571,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Library-cum-Identity Cards- Fabricated and printed as per your sample. Having 24 leaves duly printed inside. With Printed plasic. Cover.,1000,ea.,5,5000,,,,,,,,
572,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Date Due Slips- Printed one side with matter as per your sample on superior quality white paper.,"10,000",th.,60,600,,,,,,,,
573,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Book Plates-Printed one side with matter as per your sample on superior quality white art paper.,"10,000",th.,60,600,,,,,,,,
574,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Book cards- Size 3""*5"". Printed both sides as per your on heavy weight coloured card.","10,000",th.,130,1300,,,,,,,,
575,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Book Pockets- Bag shaped. Printed with name and rules of the library as per your sample. Suitable for cards size 3""*5"".","10,000",th.,130,1300,,,,,,,,
576,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,"Steel Book supports- Made of heavy gauge steel sheets durably enamelled in olive green finish. Large size 91/2""*6"".",4 doz,doz.,150,600,,,,,,,,
577,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,-,-,-,-,Shelf label Holders- Made of steel and enamelled in durable finish. Complete with blank labels and plastic strips. Size 12.5 cms * 2 cms. ..,5 Doz.,doz.,84,420,392.8,,10212.8,-,-,-,-,-
578,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,131 209,-,-,-,"Catalogue Cards- Size 5""*3"". White. Ruled and punched with a round hold. Imported card stock : Heavy weight. ..",4000,th.,250,1000,,,,,,,,
579,-,-,"The Principal & Director,","Motilal Nehru School of Sports,",Sonepat,Haryana,131 209,-,-,-,Withdrawal Register- Leather bound. 200 leaves. ..,One,ea.,100,100,44,,1144,-,-,-,-,-
580,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-,"Transparent Plastic Magazine Covers Size - 6""*8"". ..",8 Nos.,ea.,20,160,,,,,,,,
581,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-,"Transparent -do- Size - 6 1/2""*9 1/2"". ..",6 Nos.,ea.,22,132,,,,,,,,
582,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-," -do-  -do- Size - 7""*10"" ..",18 Nos.,ea.,24,432,,,,,,,,
583,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-," -do-  -do- Size - 8 1/2"" * 11"" ..",18 Nos.,ea.,26,468,,,,,,,,
584,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-," -do-  -do- Size -9""*12"" ..",18 Nos.,ea.,28,504,,,,,,,,
585,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-," -do-  -do- Size -10"" * 13"" ..",4 Nos.,ea.,30,120,,,,,,,,
586,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-,"Stock Verification Register - 20,000 entries. Leather Bound. ..",One,ea.,150,150,,,,,,,,
587,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,Haryana,131209,-,-,-,"Stock Verification Register - 10,000 entries. Leather Bound. ..",One,ea.,120,120,83.44,,2169.44,-,-,-,-,-
588,-,-,"The Principal-Cum-Director,","Motilal Nehru School of Sports,",-,Haryana,-,-,-,-,Accession Register- 5000 entries. Leather Bound. ..,One,ea.,250,250,10,,260,-,-,-,-,-
589,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,(Hr),131209,-,-,-,Loan Register- 200 leaves. Leather Bound. ..,One,ea.,160,160,,,,,,,,
590,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,(Hr),131209,-,-,-,Periodical Record Register. 200 leaves. Leather Bound.,One,ea.,160,160,12,,332,-,-,-,-,-
591,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,(Hr),131209,-,-,-,Newspaper Record Register- 100 leaves. Leather Bound. ..,One,ea.,120,120,,,,,,,,
592,-,-,"The Director & Principal,","Motilal Nehru School of Sports,",Sonepat,(Hr),131209,-,-,-,Stock Verification Register- 200 leaves. Leather Bound. ..,One,ea.,160,160,11.2,,291.2,-,-,-,-,-
593,SW/2014/2211,19-02-2014,Head of the Department,Delhi School of Scoial work,-,Delhi,110007,1,B/84,24-02-2014,"Steel Book Supports- Made of heavy gauge steel sheets and powder coated in grey finish size- 7 1/4""*5"".",55 Nos.,Each,65,3575,446.87,,,,,,,
594,SW/2014/2211,19-02-2014,Head of the Department,Delhi School of Scoial work,-,Delhi,110007,1,B/84,24-02-2014,R/O,,,,0.13,,,4022,-,-,-,-,-
595,-,-,The Head of the Department,Delhi School of Scoial work,-,Delhi,110007,1,B/33,6/8/2013,"Steel Book Supports-Made of heavy gauge steel sheets and powder coated in grey finish size- 7 1/4""*5"".","5 Doz.
(60 Nos)",Each,65,3900,487.5,,4387.5,-,-,-,-,-
596,-,-,"The Librarian,",Law Faculty Library,-,Delhi,110007,2,B/114,12/3/2012,"Steel Book Supports- Made of heavy gauge steel sheets and powder coated ingrey finish. Size- 7 1/4"" *5"".",100 Nos.,Each,60,6000,750,,6750,-,-,-,-,-
597,-,10/2/2012,"The Librarian,",Law Faculty Library,-,Delhi,110007,1,B/100,13-02-2012,"Steel Book Supports- Made of heavy gauge steel sheets and powder coated in grey finish size- 7 1/4"" *5"".",100 Nos.,Each,60,6000,750,,6750,-,-,-,-,-
598,-,10/2/2012,"The Librarian,",Law Faculty Library,-,Delhi,110007,2,B/101,13-02-2012,Book Pockets- Small. (Plain),1000,Th.,370,370,,,,,,,,
599,-,10/2/2012,"The Librarian,",Law Faculty Library,-,Delhi,110007,2,B/101,13-02-2012,"Book Cards- Size 2""*3"". Blank. White.",1000,Th.,250,250,31,,651,-,-,-,-,-
600,-,-,The University Librarian,Delhi University Library System,-,Delhi,110007,2,B/137,9/3/2011,"Accession Registers- Size 9""*11"". Printed with coloumns as per your proforma on superior quality ledger paper. Strong half leather Bound. Gold tooling on spine and title cover.",3 Nos.,Ea.,850,2550,127.5,,2677.5,-,-,-,-,-
601,-,-,The University Librarian,Delhi University Library System,-,Delhi,110007,2,B/138,10/3/2011,"Accession Registers- Size 9""*11"". Printed with coloumns as per your proforma on superior quality ledger paper. Strong half leather Bound. Gold tooling on spine and title cover.",3 Nos.,Ea.,850,2550,127.5,,2677.5,-,-,-,-,-
602,-,-,The University Librarian,Delhi University Library System,-,Delhi,110007,2,B/139,11/3/2011,"Accession Registers- Size 9""*11"". Printed with coloumns as per your proforma on superior quality ledger paper. Strong half leather Bound. Gold tooling on spine and title cover.",ONE,Ea.,850,850,42.5,,892.5,-,-,-,-,-
603,DSW/1610/2006,16-11-2006,The Head of the Department,Delhi School of Social work,-,Delhi,110007,2,B/199,8/1/2007,"KARDEX CABINET- 16 Trays fitted with 1024 card holders size 8""*5"". With stand.",One,Each,13880,13880,,,,,,,,
604,DSW/1610/2006,16-11-2006,The Head of the Department,Delhi School of Social work,-,Delhi,110007,2,B/199,8/1/2007,"BOOK TROLLY- Made of best quality material and well polished. Having four tllted and one flat bottom shelf to carry an ample stock of books. Mounted on four best quality, high bearing capacity swivel-type castors fitted with rubber tyres. Dim : 40""/41"" high (Incl. Castors) 36"" wide and 16"" deep.",One,Ea.,4800,4800,,,,,,,,
605,DSW/1610/2006,16-11-2006,The Head of the Department,Delhi School of Social work,-,Delhi,110007,2,B/199,8/1/2007,"Steel Book Supports-Made of heavy gauge steel sheets and powder coated in grey finish. Size 7 1/4""*5"".",20 Doz.,Ea.,40,9600,3535,,31815,-,-,-,-,-
606,-,-,The Head of the Department,Deptt. Of Music & Fine Arts,-,Delhi,110007,1,B/33,12/6/2007,Book Labels- Self Adhesive Sticker type. Oval shape.,6000,Th.,110,660,26.4,,686.4,-,-,-,-,-
